# Câu Hán|Pinyin (thanh từ điển; 一/不 có thể biến điệu khi nói)|Nghĩa Việt|Từ được giải thích:nghĩa trong câu
我喜欢打乒乓球。|Wǒ xǐhuan dǎ pīngpāngqiú.|Tôi thích chơi bóng bàn.|乒乓球:bóng bàn
我们一起打乒乓球吧。|Wǒmen yīqǐ dǎ pīngpāngqiú ba.|Cùng chơi bóng bàn nhé.|乒乓球:bóng bàn
我来自越南。|Wǒ láizì Yuènán.|Tôi đến từ Việt Nam.|来自:đến từ
伤口流血了。|Shāngkǒu liú xuè le.|Vết thương chảy máu rồi.|血:máu
我去医院验血。|Wǒ qù yīyuàn yàn xuè.|Tôi đi bệnh viện xét nghiệm máu.|验血:xét nghiệm máu
我们去看龙舟。|Wǒmen qù kàn lóngzhōu.|Chúng tôi đi xem thuyền rồng.|龙舟:thuyền rồng
湖上有一叶小舟。|Hú shàng yǒu yī yè xiǎozhōu.|Trên hồ có một chiếc thuyền nhỏ.|小舟:thuyền nhỏ, cách nói văn viết
这家工厂生产汽车。|Zhè jiā gōngchǎng shēngchǎn qìchē.|Nhà máy này sản xuất ô tô.|生产:sản xuất;汽车:ô tô
这个产品很好用。|Zhè ge chǎnpǐn hěn hǎoyòng.|Sản phẩm này dễ dùng.|产品:sản phẩm
山上有羊。|Shān shàng yǒu yáng.|Trên núi có dê/cừu.|羊:dê hoặc cừu, cần ngữ cảnh
我不吃羊肉。|Wǒ bù chī yángròu.|Tôi không ăn thịt dê/cừu.|羊肉:thịt dê hoặc cừu
我要一碗米饭。|Wǒ yào yī wǎn mǐfàn.|Tôi muốn một bát cơm.|米饭:cơm
学校离这里一百米。|Xuéxiào lí zhèlǐ yī bǎi mǐ.|Trường cách đây một trăm mét.|米:mét
我住在广州。|Wǒ zhù zài Guǎngzhōu.|Tôi sống ở Quảng Châu.|广州:Quảng Châu, địa danh
他来自杭州。|Tā láizì Hángzhōu.|Anh ấy đến từ Hàng Châu.|杭州:Hàng Châu, địa danh
我们周末去农场。|Wǒmen zhōumò qù nóngchǎng.|Cuối tuần chúng tôi đi nông trại.|农场:nông trại
老师很严格。|Lǎoshī hěn yángé.|Thầy/cô rất nghiêm khắc.|严格:nghiêm khắc
问题很严重。|Wèntí hěn yánzhòng.|Vấn đề rất nghiêm trọng.|严重:nghiêm trọng
我有一个要求。|Wǒ yǒu yī ge yāoqiú.|Tôi có một yêu cầu.|要求:yêu cầu
请求你帮帮我。|Qǐngqiú nǐ bāngbang wǒ.|Xin bạn giúp tôi với.|请求:thỉnh cầu
今天更冷了。|Jīntiān gèng lěng le.|Hôm nay lạnh hơn rồi.|更:hơn, đọc gèng
我想更换房间。|Wǒ xiǎng gēnghuàn fángjiān.|Tôi muốn đổi phòng.|更换:đổi, 更 đọc gēng
送你一束花。|Sòng nǐ yī shù huā.|Tặng bạn một bó hoa.|束:lượng từ cho bó hoa
会议结束了。|Huìyì jiéshù le.|Cuộc họp đã kết thúc.|结束:kết thúc
我要两杯水。|Wǒ yào liǎng bēi shuǐ.|Tôi muốn hai cốc nước.|两:hai, đứng trước lượng từ
我们两个都去。|Wǒmen liǎng ge dōu qù.|Cả hai chúng tôi đều đi.|两:hai
请来我家。|Qǐng lái wǒ jiā.|Mời đến nhà tôi.|来:đến
书包里有书。|Shūbāo lǐ yǒu shū.|Trong cặp có sách.|里:trong
房间里很安静。|Fángjiān lǐ hěn ānjìng.|Trong phòng rất yên tĩnh.|里:trong
我想吃一串葡萄。|Wǒ xiǎng chī yī chuàn pútao.|Tôi muốn ăn một chùm nho.|串:lượng từ cho chùm/xâu
给我两串烤肉。|Gěi wǒ liǎng chuàn kǎoròu.|Cho tôi hai xiên thịt nướng.|串:xiên
你身体好吗？|Nǐ shēntǐ hǎo ma?|Bạn khỏe không?|身体:cơ thể, sức khỏe
请转过身来。|Qǐng zhuǎn guo shēn lái.|Hãy quay người lại.|身:thân người
没关系。|Méi guānxi.|Không sao.|关系:liên quan, 没关系 nghĩa không sao
请系好安全带。|Qǐng jì hǎo ānquándài.|Hãy thắt dây an toàn.|系:thắt/buộc, đọc jì
你辛苦了。|Nǐ xīnkǔ le.|Bạn vất vả rồi.|辛苦:vất vả
妈妈工作很辛苦。|Māma gōngzuò hěn xīnkǔ.|Mẹ làm việc rất vất vả.|辛苦:vất vả
他很善良。|Tā hěn shànliáng.|Anh ấy rất tốt bụng.|善良:lương thiện
请保持良好的习惯。|Qǐng bǎochí liánghǎo de xíguàn.|Hãy giữ thói quen tốt.|良好:tốt;习惯:thói quen
我有事要说。|Wǒ yǒu shì yào shuō.|Tôi có chuyện muốn nói.|事:chuyện
没事，别担心。|Méi shì, bié dānxīn.|Không sao, đừng lo.|没事:không có việc gì nghiêm trọng
今天雨很大。|Jīntiān yǔ hěn dà.|Hôm nay mưa to.|雨:mưa
我带了雨伞。|Wǒ dài le yǔsǎn.|Tôi đã mang ô.|雨伞:ô che mưa
我非常喜欢。|Wǒ fēicháng xǐhuan.|Tôi rất thích.|非常:rất
这里禁止非法停车。|Zhèlǐ jìnzhǐ fēifǎ tíngchē.|Ở đây cấm đỗ xe trái phép.|非法:trái pháp luật
多吃水果。|Duō chī shuǐguǒ.|Hãy ăn nhiều trái cây.|水果:trái cây
结果怎么样？|Jiéguǒ zěnmeyàng?|Kết quả thế nào?|结果:kết quả
请保持严肃。|Qǐng bǎochí yánsù.|Hãy giữ thái độ nghiêm túc.|严肃:nghiêm túc
他看起来很严肃。|Tā kàn qǐlai hěn yánsù.|Anh ấy trông rất nghiêm nghị.|严肃:nghiêm nghị
我承认自己错了。|Wǒ chéngrèn zìjǐ cuò le.|Tôi thừa nhận mình sai.|承认:thừa nhận
谢谢你的承诺。|Xièxie nǐ de chéngnuò.|Cảm ơn lời hứa của bạn.|承诺:lời hứa
我收到了一张请柬。|Wǒ shōudào le yī zhāng qǐngjiǎn.|Tôi đã nhận được một thiệp mời.|请柬:thiệp mời
请把请柬给他。|Qǐng bǎ qǐngjiǎn gěi tā.|Hãy đưa thiệp mời cho anh ấy.|请柬:thiệp mời
我们见个面吧。|Wǒmen jiàn ge miàn ba.|Chúng ta gặp mặt nhé.|面:mặt, 见个面 là cách nói gặp mặt
我想吃面条。|Wǒ xiǎng chī miàntiáo.|Tôi muốn ăn mì.|面条:mì
这个箱子很重。|Zhè ge xiāngzi hěn zhòng.|Cái vali này rất nặng.|重:nặng, đọc zhòng
这件事很重要。|Zhè jiàn shì hěn zhòngyào.|Việc này rất quan trọng.|重要:quan trọng, 重 đọc zhòng
请重新写一遍。|Qǐng chóngxīn xiě yī biàn.|Hãy viết lại một lần.|重新:lại từ đầu, 重 đọc chóng
我不怕鬼。|Wǒ bù pà guǐ.|Tôi không sợ ma.|鬼:ma
别讲鬼故事。|Bié jiǎng guǐ gùshi.|Đừng kể chuyện ma.|鬼故事:chuyện ma
请不要浪费食物。|Qǐng bù yào làngfèi shíwù.|Xin đừng lãng phí thức ăn.|食物:thức ăn
我们去食堂吃饭。|Wǒmen qù shítáng chī fàn.|Chúng ta đến nhà ăn ăn cơm.|食堂:nhà ăn
大象很大。|Dàxiàng hěn dà.|Voi rất to.|大象:voi
我看见了一头大象。|Wǒ kànjiàn le yī tóu dàxiàng.|Tôi đã nhìn thấy một con voi.|大象:voi
这里有一只老鼠。|Zhèlǐ yǒu yī zhī lǎoshǔ.|Ở đây có một con chuột.|老鼠:chuột
我的鼠标坏了。|Wǒ de shǔbiāo huài le.|Chuột máy tính của tôi bị hỏng rồi.|鼠标:chuột máy tính
